band_name,dial_freq,lower_freq,center_freq,upper_freq
"2200m",136000,137400,137500,137600
"630m",474200,475600,475700,475800
"160m",1836600,1838000,1838100,1838200
"80m",3568600,3570000,3570100,3570200
"60m (US-CA-3 low)",5355700,5357100,5357200,5357300
"60m (US-CA-3)",5357000,5358400,5358500,5358600
"60m (US-CA-4)",5371500,5372900,5373000,5373100
"40m",7038600,7040000,7040100,7040200
"30m",10138700,10140100,10140200,10140300
"20m",14095600,14097000,14097100,14097200
"17m",18104600,18106000,18106100,18106200
"15m",21094600,21096000,21096100,21096200
"12m",24924600,24926000,24926100,24926200
"10m",28124600,28126000,28126100,28126200
"6m",50293000,50294400,50294500,50294600
"2m",144489000,144490400,144490500,144490600
